systemnr,stednr,loknr,sbext,frednr,stednavn,stednavnsbetydning,anlnr,anlaegstype,anlaegsbetydning,dateringskode,datering,fra_aar,til_aar,kommunenavn,kommunenr,sevaerdighedsklasse,url,x,y
122096,110708,72,,1107102,Højstrupgravpladsen,Fortidsminde/lokalt kaldenavn,1,01412,Tuegrav,CYVX,Vikingetid,750,1066,Thisted,787,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122096/              ,9.00197668889733,57.0532384618416
122097,110708,73,,1107134,Højstrupgravpladsen,Fortidsminde/lokalt kaldenavn,1,20012,Bautasten,CYVX,Vikingetid,750,1066,Thisted,787,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122097/              ,9.00186126913448,57.052672514073
122098,110708,6,,1107144,Højstrupgravpladsen,Fortidsminde/lokalt kaldenavn,1,01092,Rundhøj,CYVX,Vikingetid,750,1066,Thisted,787,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122098/              ,9.00098758084996,57.0524479401113
122098,110708,6,,1107144,Højstrupgravpladsen,Fortidsminde/lokalt kaldenavn,2,20012,Bautasten,CYVX,Vikingetid,750,1066,Thisted,787,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122098/              ,9.00098758084996,57.0524479401113
122099,110708,70,,1107142,Højstrupgravpladsen,Fortidsminde/lokalt kaldenavn,1,01409,Skibssætning,CYVX,Vikingetid,750,1066,Thisted,787,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122099/              ,9.00191070642379,57.0523221636981
122100,110708,74,,1107136,Højstrupgravpladsen,Fortidsminde/lokalt kaldenavn,1,20012,Bautasten,CYVX,Vikingetid,750,1066,Thisted,787,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122100/              ,9.00189422868633,57.0524658971357
122101,110708,68,,1107149,Højstrupgravpladsen,Fortidsminde/lokalt kaldenavn,1,01409,Skibssætning,CYVX,Vikingetid,750,1066,Thisted,787,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122101/              ,9.00167991846112,57.0521784335943
122102,110708,69,,1107141,Højstrupgravpladsen,Fortidsminde/lokalt kaldenavn,1,01409,Skibssætning,CYVX,Vikingetid,750,1066,Thisted,787,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122102/              ,9.00172937839455,57.0523401328214
122379,070502,2,,44215,Torpe Skov,"Landskab, herunder vådområde",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Lolland,360,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122379/              ,11.1804433413975,54.8217783530215
122380,070502,3,,44214,Torpe Skov,"Landskab, herunder vådområde",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Lolland,360,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122380/              ,11.1799886190938,54.8217293540116
